sn,FID,agf,plotID,transect,County,genus,species,dbh,height,canopyd,latitude,longitude,altitude,accuracy
686,1544,cropland_agroforestry,153,4,Murang'a,Acacia,mearnsii,35,700,300,-0.6886742,36.8768256,2095.6,4.75
687,1543,cropland_agroforestry,153,4,Murang'a,Acacia,mearnsii,20,600,250,-0.688648,36.8768571,2095.6,4.9
688,1545,cropland_agroforestry,153,4,Murang'a,Acacia,mearnsii,20,750,400,-0.6886155,36.8771316,2095.6,4.95
689,1385,cropland_agroforestry,153,4,Murang'a,Musa,acuminata,15,230,120,-0.688615,36.8769283,2105.2,4.1
690,3040,cropland_agroforestry,153,4,Murang'a,Eucalyptus,camaldulensi,15,1000,400,-0.688543,36.8768512,2172.8,4.84
691,1666,pasture_agroforestry,109,1,Nakuru,Eucalyptus,robusta,17,420,220,-0.6873374,36.4861134,2169,2.3
692,1606,pasture_agroforestry,109,1,Nakuru,Eucalyptus,robusta,16,650,420,-0.6866709,36.4856326,2208.7,4.633
693,1540,cropland_agroforestry,154,4,Murang'a,Acacia,mearnsii,30,1000,600,-0.6728693,36.9436632,1854.9,4.76
694,2531,cropland_agroforestry,154,4,Murang'a,Grevillea,robusta,40,1600,700,-0.6727736,36.9437084,1855.6,3.033
695,2532,cropland_agroforestry,154,4,Murang'a,Grevillea,robusta,35,1700,600,-0.6726235,36.9437631,1855.5,4.025
696,2224,cropland_agroforestry,154,4,Murang'a,Grevillea,robusta,40,1000,200,-0.6726068,36.9435041,1790,4.95
697,2223,cropland_agroforestry,154,4,Murang'a,Grevillea,robusta,35,850,100,-0.6726068,36.9434225,1789.7,4.98
698,1539,cropland_agroforestry,154,4,Murang'a,Acacia,mearnsii,15,900,400,-0.6726054,36.9436631,1855.3,4.9
699,1487,cropland_agroforestry,154,4,Murang'a,Musa,acuminata,25,450,200,-0.6725822,36.9435066,1788.3,4.86
700,1538,cropland_agroforestry,154,4,Murang'a,Acacia,mearnsii,10,700,300,-0.6725681,36.943662,1855.2,4.3
701,2222,cropland_agroforestry,154,4,Murang'a,Grevillea,robusta,30,1000,100,-0.6725318,36.9435861,1788.3,4.96
702,2411,cropland_agroforestry,154,4,Murang'a,Grevillea,robusta,45,1000,330,-0.6725276,36.9436633,1828.7,4.62
