sn,FID,agf,plotID,transect,County,genus,species,dbh,height,canopyd,latitude,longitude,altitude,accuracy
854,2626,cropland_agroforestry,152,4,Murang'a,Grevillea,robusta,52,1600,540,-0.62894,36.9553,1674.4,5
855,2212,cropland_agroforestry,152,4,Murang'a,Grevillea,robusta,35,700,350,-0.6289398,36.9553043,1672.4,4.62
856,2399,cropland_agroforestry,152,4,Murang'a,Grevillea,robusta,65,920,330,-0.6289156,36.9556396,1672,4.72
857,2624,cropland_agroforestry,152,4,Murang'a,Grevillea,robusta,27,900,350,-0.6289002,36.9552858,1674.6,4.95
858,2625,cropland_agroforestry,152,4,Murang'a,Grevillea,robusta,23,850,400,-0.6288895,36.9552638,1674.5,5
859,2528,cropland_agroforestry,152,4,Murang'a,Grevillea,robusta,15,1100,600,-0.6288655,36.9555735,1728.5,4.7
860,2623,cropland_agroforestry,152,4,Murang'a,Grevillea,robusta,74,1100,120,-0.6288334,36.9553282,1674.5,4.88
861,2401,cropland_agroforestry,152,4,Murang'a,Grevillea,robusta,72,1100,300,-0.628819,36.9556625,1672.3,4.36
862,2400,cropland_agroforestry,152,4,Murang'a,Grevillea,robusta,50,600,230,-0.6288093,36.9556751,1672.2,5
863,2621,cropland_agroforestry,152,4,Murang'a,Grevillea,robusta,16,650,150,-0.6288031,36.9553545,1674.4,4.82
