uid,species,latitude,longitude,occurrence,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elevation,slope,aspect,hillshade,twi
17116,Musa,35.45135271,0.169651676,0,18.20000076,12.30000019,39.90000153,671.7999878,35.20000076,4.400000095,30.79999924,11,28.20000076,26.79999924,10.60000038,474,84,1,67.69999695,224,18,18,213,672,1.7926991,150.59578,0.6854544,4.5627904
17117,Musa,35.39323988,0.494470911,0,19.39999962,13.10000038,40.70000076,691.2000122,37.20000076,4.900000095,32.29999924,11.89999962,29.5,28.20000076,11.5,426,73,1,63.90000153,192,17,17,185,474,1.4189858,323.61282,0.7242029,4.3912272
17118,Musa,35.42089332,0.496020633,0,19.70000076,13.19999981,41.20000076,677.7000122,37.20000076,5.199999809,32,12.30000019,29.5,28.39999962,11.89999962,413,71,1,64.80000305,187,15,15,180,381,0.8746449,14.408288,0.71251756,9.645919
17119,Musa,35.31066454,0.581881524,0,17.79999924,12.80000019,38.59999847,736.5,36.59999847,3.400000095,33.20000076,9.699999809,28.89999962,27.29999924,9.399999619,445,68,2,59.20000076,185,23,23,184,881,2.251057,64.44485,0.6973152,3.9294596
17120,Musa,35.37557636,0.418590034,0,19.29999924,13.19999981,40.79999924,689.2999878,37.09999847,4.800000191,32.29999924,11.80000019,29.39999962,28.10000038,11.39999962,431,75,1,65,196,16,16,188,492,0.5719079,335.57864,0.7136792,5.3001184
17121,Musa,35.4037809,0.209840609,0,18.79999924,13.10000038,40.79999924,678.7000122,36.5,4.400000095,32.09999847,11.60000038,28.89999962,27.5,11.10000038,464,84,1,68.30000305,222,17,17,209,543,3.9592667,158.59021,0.6606756,3.769187
17122,Musa,35.47413823,0.348236296,0,18.5,13,40.29999924,691.7999878,36.29999924,4.099999905,32.20000076,11,28.79999924,27.39999962,10.60000038,472,83,1,66.59999847,221,18,18,210,653,2.7381134,162.9187,0.6764518,3.7333431
17123,Musa,35.39086649,0.556172395,0,19.29999924,13.10000038,40.40000153,702.2000122,37.29999924,4.800000191,32.5,11.5,29.60000038,28.29999924,11.19999981,427,72,1,63.40000153,190,17,17,184,518,1.7329674,359.062,0.72214955,5.107525
17124,Musa,35.41148955,0.853776783,0,19.5,13.30000019,40.40000153,719.5999756,37.79999924,4.800000191,33,10.5,30,28.70000076,11.30000019,405,66,1,62.5,173,15,15,173,480,3.2541714,61.654068,0.694463,3.5603604
17125,Musa,35.37758093,0.707002965,0,19.39999962,12.60000038,39.59999847,705.2999878,36.90000153,5.099999905,31.79999924,11.39999962,29.70000076,28.39999962,11.19999981,428,70,1,63,185,16,16,183,494,5.3640294,358.7911,0.75172764,3.4641962
17126,Musa,35.3282681,0.827312222,0,19.20000076,12.60000038,39.20000076,716,37.09999847,4.800000191,32.29999924,10.19999981,29.60000038,28.29999924,11,409,64,1,59.40000153,170,18,18,170,501,4.9499855,242.58122,0.72289914,3.1394973
17127,Musa,35.33581532,0.292754902,0,19.10000038,12.89999962,40.20000076,684.5,36.79999924,4.800000191,32,11.69999981,29.29999924,27.89999962,11.30000019,426,76,1,65.90000153,197,17,17,188,487,0.3376956,325.95264,0.7111862,8.078265
17128,Musa,35.28475789,0.357060027,0,17.79999924,13,38.79999924,726.2999878,36.79999924,3.400000095,33.40000153,9.899999619,28.79999924,27.20000076,9.600000381,433,68,2,59.29999924,184,23,23,179,815,2.004043,352.9623,0.7261699,5.2985625
17129,Musa,35.36927514,0.872039379,0,19.29999924,13,39.90000153,718.2000122,37.5,4.800000191,32.70000076,10.30000019,29.79999924,28.5,11.10000038,407,64,1,60.59999847,169,16,16,169,470,2.9153345,294.38614,0.73985267,3.670526
17130,Musa,35.37022791,0.286364842,0,19.10000038,13.30000019,40.79999924,684,37,4.5,32.5,11.80000019,29.29999924,27.89999962,11.39999962,435,78,1,66.90000153,204,16,16,194,489,0.24261023,173.28418,0.7047502,6.5631323
