,species,latitude,longitude,occurrence,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elevation,slope,aspect,hillshade,twi
11221,Eucalyptus,39.64834915,-2.708694502,0,16.20000076,13.89999962,39.40000153,776.2999878,36.5,1.100000024,35.40000153,7.699999809,27.89999962,26.29999924,7.599999905,443,54,9,41.0,148,44,51,143,786,0.78930587,206.3574,0.7039259,6.0765247
11222,Eucalyptus,39.89382374,-3.515022561,0,16.29999924,13.10000038,37.5,777.7999878,36.29999924,1.5,34.79999924,11.0,28.0,26.5,7.699999809,407,49,8,41.0,140,41,47,130,717,0.5793165,213.71555,0.7056716,5.287246
11223,Eucalyptus,39.53135312,-3.359343249,0,16.89999962,13.80000019,38.59999847,789.7999878,37.29999924,1.600000024,35.70000076,8.100000381,28.70000076,27.20000076,8.100000381,398,50,7,42.20000076,138,37,44,132,653,0.015544966,180.0,0.7069711,8.905393
11224,Eucalyptus,39.27671615,-3.385717453,0,17.10000038,14.19999981,39.5,786.0999756,37.5,1.700000048,35.79999924,8.399999619,28.70000076,27.29999924,8.300000191,391,49,6,42.59999847,136,36,42,130,621,0.17423825,311.99945,0.70925087,8.791287
11225,Eucalyptus,39.49605008,-2.947529057,0,16.70000076,14.0,39.09999847,790.7000122,37.09999847,1.299999952,35.79999924,8.0,28.39999962,27.0,7.800000191,416,52,7,43.09999847,144,38,43,139,705,0.16455996,127.88026,0.7050886,6.5458517
11226,Eucalyptus,39.59711366,-3.169850146,0,16.70000076,13.69999981,38.79999924,784.7000122,36.79999924,1.399999976,35.40000153,8.0,28.29999924,26.89999962,7.900000095,407,51,7,42.70000076,142,37,44,135,674,0.1109202,212.76768,0.7068154,8.549755
11227,Eucalyptus,39.89731317,-3.072680281,0,15.89999962,13.80000019,39.0,774.7999878,36.20000076,0.800000012,35.40000153,10.60000038,27.60000038,26.0,7.300000191,445,52,9,40.79999924,152,44,50,141,777,0.33401704,240.74754,0.7082135,5.837926
11228,Eucalyptus,39.32858408,-3.431795585,0,16.10000038,13.10000038,37.5,793.4000244,36.20000076,1.299999952,34.90000153,7.400000095,28.0,26.5,7.300000191,431,54,7,42.79999924,150,39,48,144,858,1.7240682,241.46292,0.71281564,4.1963854
11229,Eucalyptus,39.38127405,-3.35711317,0,17.0,13.80000019,38.79999924,786.2999878,37.20000076,1.700000048,35.5,8.199999809,28.5,27.20000076,8.100000381,401,49,7,42.40000153,137,37,43,131,638,0.24794008,46.397053,0.7070256,8.215378
11230,Eucalyptus,39.47711532,-2.910830391,0,16.79999924,14.0,39.09999847,788.2999878,37.29999924,1.5,35.79999924,8.100000381,28.5,27.10000038,8.0,420,52,7,42.59999847,144,39,44,139,682,1.0064989,262.90332,0.7146282,5.8334055
11231,Eucalyptus,39.89663613,-3.216165004,0,16.0,13.60000038,38.5,774.9000244,36.20000076,1.0,35.20000076,10.80000019,27.70000076,26.10000038,7.400000095,428,51,8,41.09999847,149,43,48,138,758,0.27025965,305.1124,0.7103847,6.742886
