,species,latitude,longitude,occurrence,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elevation,slope,aspect,hillshade,twi
15686,Musa,38.76170212,-3.88806809,0,16.60000038,13.30000019,37.79999924,780.7000122,36.70000076,1.600000024,35.09999847,8.0,28.0,26.70000076,7.800000191,425,56,6,45.29999924,152,34,42,148,745,2.494122,65.137794,0.6958431,5.7727156
15687,Musa,37.64365898,-3.47247851,0,15.60000038,14.10000038,40.29999924,737.4000244,36.0,1.100000024,34.90000153,7.699999809,26.5,25.20000076,7.400000095,492,65,5,49.59999847,182,33,37,177,1058,3.5809486,133.0644,0.66158646,3.4644432
15688,Musa,37.75148182,-3.37882227,0,15.30000019,12.80000019,38.20000076,738.7000122,34.79999924,1.299999952,33.5,7.400000095,26.29999924,24.89999962,7.099999905,499,65,5,49.0,181,34,38,177,1103,15.906817,167.37318,0.516352,2.3539271
15689,Musa,38.06001133,-2.949631643,0,14.5,12.89999962,37.29999924,771.5999756,34.59999847,0.100000001,34.5,6.300000191,26.0,24.60000038,6.0,488,60,6,45.90000153,170,38,43,168,1166,3.933501,212.81332,0.69520146,3.7757366
15690,Musa,38.53835038,-3.868251187,0,17.20000076,13.39999962,38.29999924,769.7000122,37.20000076,2.299999952,34.90000153,8.699999809,28.39999962,27.20000076,8.5,419,57,4,49.0,157,30,35,151,632,8.837737,338.17413,0.7985835,2.9598334
15691,Musa,38.47236224,-3.862088249,0,17.29999924,13.69999981,39.0,767.0999756,37.5,2.299999952,35.20000076,8.800000191,28.60000038,27.29999924,8.699999809,427,58,4,49.20000076,159,30,35,155,640,5.4488306,203.4677,0.6792679,3.9592428
15692,Musa,38.61710013,-3.898696633,0,17.29999924,13.80000019,39.09999847,773.0999756,37.5,2.099999905,35.40000153,8.699999809,28.60000038,27.29999924,8.5,427,56,5,47.09999847,155,33,38,150,642,4.6975164,170.83339,0.6577836,3.5975611
15693,Musa,39.09192657,-3.133956147,0,17.0,14.39999962,39.79999924,789.7999878,37.70000076,1.399999976,36.29999924,8.199999809,28.60000038,27.29999924,8.100000381,405,53,6,44.70000076,143,34,41,139,672,0.20595375,348.87515,0.7092125,7.5742364
15694,Musa,39.00506941,-3.088552705,0,16.70000076,14.5,39.20000076,806.0999756,38.09999847,1.100000024,37.0,7.900000095,28.70000076,27.29999924,7.699999809,420,54,6,44.90000153,147,35,41,142,767,0.8797668,330.9938,0.7174602,4.869394
15695,Musa,39.04751854,-3.658061166,0,17.10000038,13.89999962,39.09999847,781.0999756,37.20000076,1.600000024,35.59999847,8.300000191,28.39999962,27.20000076,8.199999809,387,50,6,43.09999847,134,34,42,131,625,0.06304135,308.05798,0.70787865,7.505338
